title,href,article
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://n.news.naver.com/mnews/article/011/0004598795?sid=105,크래프톤(259960)과 한화가 ‘피지컬 인공지능(AI)’ 시장 공략을 위해 손을 맞잡는다. 가상현실(VR)·AI·로보틱스 등의 분야에 강점을 지닌 크래프톤과 로봇·우주항공 등 실물 기반 기술을 갖춘 한화에어로스페이스(012450)의 역량을 결합해 피지컬 AI 선도 기업으로 도약하겠다는 구상이다.12일 업계에 따르면 크래프톤과 한화에어로스페이스는 조만간 합작법인(JV) 설립을 위한 업무협약(MOU)을 체결할 예정이다. 미래 핵심 산업으로 떠오른 피지컬 AI를 둘러싸고 글로벌 기술 패권 경쟁이 치열해지는 가운데 양 사의 강점을 융합해 강력한 시너지를 창출하겠다는 복안이다. 특히 독자적인 기술 노선만으로는 글로벌 빅테크 기업들에 맞서기 어렵다는 양 사의 이해관계와 위기의식이 맞아떨어지면서 이번 협력이 성사됐다.이와 함께 크래프톤은 한화그룹이 전사 차원에서 조성하는 대규모 대체투자 펀드에 재무적투자자(FI)로도 나선다. 한화자산운용이 올해 1분기 중 결성하는 6700억 원 규모의 사모펀드에 크래프톤이 출자자로 참여하는 방안을 검토 중이다. 해당 펀드의 자금은 미국을 비롯한 전 세계 AI 및 로봇 기술 스타트업 투자에 쓰일 것으로 전망된다.업계 관계자는 “AI 연구 영역에 특화된 크래프톤의 소프트웨어 역량과 방산을 비롯한 한화에어로스페이스의 탄탄한 제조업 인프라가 만나 피지컬 AI 분야에서 막대한 시너지를 낼 것으로 기대된다”고 말했다.
"한솔PNS, 'AW 2026' 참가…제조산업 특화 AI 플랫폼 소개",https://n.news.naver.com/mnews/article/001/0015956547?sid=105,"(서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr"
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://n.news.naver.com/mnews/article/037/0000037818?sid=101,[기업 브리핑 Up & Down]삼성SDI의 피지컬 인공지능(AI)용 전고체 배터리가 첫 공개됐다. 삼성SDI는 3월 11∼13일 서울 코엑스에서 열리고 있는 배터리 산업 박람회 ‘인터배터리 2026’에서 피지컬 AI 전용으로 개발 중인 파우치형 전고체 배터리 샘플을 선보였다. 로봇용 배터리는 작은 공간에 긴 시간 탑재되기에 현재 쓰이는 전기차용 배터리에 비해 개발 난도가 높은 것으로 알려졌다. 삼성SDI는 내년 하반기 양산을 목표로 안전성과 에너지 밀도가 모두 높은 피지컬 AI용 배터리를 개발하고 있다.*유튜브와 포털에서 각각 ‘매거진동아’와 ‘투벤저스’를 검색해 팔로잉하시면 기사 외에도 동영상 등 다채로운 투자 정보를 만나보실 수 있습니다.
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://n.news.naver.com/mnews/article/003/0013819928?sid=102,"[전주=뉴시스]최정규 기자 = 전북특별자치도는 13일 도청에서 DH그룹과 부안 제3농공단지(투자 면적 10만 1836㎡) 일원에 피지컬AI(인공지능)·방산·수소 산업 제조기지를 조성하는 내용의 투자협약(MOU)을 체결했다. 협약식에는 김관영 전북지사와 이정권 DH그룹 회장, 권익현 부안군수 등이 참석했다.DH그룹은 올해부터 2032년까지 3단계에 걸쳐 총 1500억원을 투자해 부안 제3농공단지를 피지컬AI·방산·수소 산업이 집약된 복합 제조기지로 고도화한다.900억원 규모의 피지컬AI 분야 스마트팩토리가 들어선다. 산업용 로봇, 자동화 부품, 드론 및 무인항공 기반의 방위산업 생산라인이 구축된다. 2027년 착공해 자율주행이동로봇(AMR) 기반 무인 물류시스템과 디지털트윈 공정 자동화를 적용한 시설을 2029년 본격 가동할 계획이다.이어 2028년에는 350억원을 투입해 수소모빌리티 부품 제조공장 착공에 들어간다. 액화수소연료탱크와 전기·수소차량 부품을 생산하는 시설이다. 같은 해 미래비전 연구단지 조성도 시작된다. 250억원이 들어서는 이 연구단지는 수소·로봇·AI 융합 신제품 연구개발 허브이자 전북 지역대학과 연계한 산학협력 인력 양성 거점으로 운영될 예정이다.투자가 완료되면 직접고용 310명, 간접고용 포함 600~900명의 일자리가 생길 것으로 예상된다. 현대차그룹 새만금 투자 기반의 부품 공급망, 수전해 수소생산기지와의 에너지 연계, 새만금 AI·수소 시티 클러스터 효과까지 더해져 전북 서부권 전반의 산업 경쟁력을 끌어올릴 것으로 기대된다.김 지사는 ""이번 대규모 투자 결정은 전북의 미래산업 경쟁력이 높아졌음을 보여주는 것""이라며 ""DH그룹이 차질 없이 투자를 이행할 수 있도록 인허가 신속 처리 등 가용한 행정 지원을 아끼지 않겠다""고 말했다.DH그룹은 지난해 그룹 매출 1조원을 넘긴 중견그룹이다. 생활가전 및 자동차 부품 제조 역량을 토대로 피지컬AI·수소·드론 및 무인항공 기반 방위산업으로 사업 영역을 확장하며 제조업 기반의 미래산업 전환을 추진하고 있다."
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://n.news.naver.com/mnews/article/015/0005261933?sid=102,"경기도 포천시 영북면의 한 산란계 농가에서 조류인플루엔자(AI) 'H5형' 항원이 검출돼 방역당국이 긴급 대응에 나섰다.경기도는 13일 해당 농가에 대한 예찰 검사 과정에서 AI 항원이 검출됨에 따라, 채취 시료를 농림축산검역본부에 보내 고병원성 여부 확인을 위한 정밀검사를 의뢰했다. 검사 결과는 이날 오후에 나올 예정이다.도는 바이러스 확산을 선제적으로 차단하기 위해 해당 농가에서 사육 중인 닭 4만5000여 마리를 예방적으로 살처분하기로 결정했다. 아울러 현장에 방역관을 배치해 출입을 통제하고 이동 제한 조치도 시행하고 있다.이번 겨울 들어 경기도에서는 현재까지 총 13건의 조류인플루엔자 발생이 확인됐으며, 이로 인해 36개 농가에서 닭·오리 등 가금류 약 429만7000마리가 살처분됐다. 지금까지 확인된 바이러스 유형은 모두 고병원성 'H5N1형'으로, 이번에 검출된 'H5형' 항원 역시 고병원성일 가능성이 크다는 것이 방역당국의 판단이다.경기도 관계자는 ""H5형은 고병원성으로 판명될 확률이 높아 예방적 차원에서 전량 살처분을 결정했다""며 ""올겨울에는 대형 산란계 농가를 중심으로 발생이 이어져 피해 규모가 커지고 있다""고 밝혔다.포천=정진욱 기자"
[단독]가상환경서 첨단무기 테스트…크래프톤-한화에어로 ‘AI동맹’,https://n.news.naver.com/mnews/article/011/0004598794?sid=105,"기존 업무 영역에서 접점이 없던 크래프톤(259960)과 한화에어로스페이스(012450)가 전격 손을 잡은 배경에는 글로벌 빅테크가 주도하는 ‘피지컬 인공지능(AI)’ 분야에서 독자 생존이 쉽지 않다는 위기감이 작용한 것으로 풀이된다. 크래프톤이 게임 운영으로 축적한 방대한 데이터와 한화에어로스페이스의 우주항공·방산 제조 인프라를 결합해 막강한 자본과 인력을 앞세운 미·중 기업들에 맞설 반전의 계기를 마련하겠다는 전략이다. 글로벌 경쟁이 격화하는 가운데 후발주자들이 최근 잇따라 ‘AI 연합체’를 구성해 서로의 핵심 기술을 결집하는 ‘합종연횡’에 속도를 내는 분위기다.12일 업계에 따르면 조만간 출범할 크래프톤과 한화에어로스페이스의 합작법인(JV)은 AI를 기반으로 한 첨단 우주항공 및 방산 기술 경쟁력 확보에 주력할 전망이다. 특히 크래프톤의 가상현실(VR) 기술을 활용한 ‘워게임 시뮬레이션’으로 한화에어로스페이스의 무기체계를 시연하며 핵심 기술을 고도화하고 제품의 완성도를 높이는 방안이 유력해 보인다.그동안 크래프톤은 물리적 환경에서 작동하는 피지컬 AI 개발에 전사적 역량을 집중해 왔다. 게임에서 얻은 방대한 데이터가 피지컬 AI 및 로보틱스 연구에 훌륭한 자양분이 될 것이라는 판단에서다. 이를 위해 지난해 4월 엔비디아와 휴머노이드 분야 협력을 논의한 데 이어, 5월에는 AI본부 산하에 휴머노이드 로보틱스를 연구하는 ‘피지컬 AI팀’을 신설했다. 11월에는 미국 샌프란시스코에 ‘루도 로보틱스’를 설립해 로봇용 지능 시스템 개발에 본격 착수했다.한화에어로스페이스 역시 AI 기술 확보가 절실한 상황이었다. 러시아-우크라이나 전쟁, 중동 분쟁 등을 거치며 AI 기반 장비와 드론 등 무인 전력이 실제 군사 작전의 핵심으로 떠오르면서 기존 하드웨어 기술력만으로는 눈높이가 높아진 시장의 요구를 충족하기 어려워졌기 때문이다.이번 협력을 통해 크래프톤이 축적해 온 로봇 소프트웨어 기술은 한화에어로스페이스의 중장기 연구개발(R&D)에 적극 활용될 것으로 보인다. 막대한 비용이 드는 무기 및 로켓 등 방산 제품 실험을 시공간적, 비용적 제약 없이 가상 환경에서 무제한으로 수행할 수 있게 된다. 다양한 반복 실험이 필수적인 방산 분야에서 획기적인 비용 절감이 기대되는 대목이다. 결과적으로 크래프톤은 실물 기반의 데이터를 확보하고, 한화에어로스페이스는 수익성 개선의 발판을 마련하는 ‘윈윈(Win-Win)’ 모델이 구축될 것이라는 평가가 나온다. 업계 관계자는 “AI 연구 영역에 특화된 크래프톤의 소프트웨어 역량과 방산을 비롯한 한화에어로스페이스의 탄탄한 제조업 인프라가 만나 피지컬 AI 분야에서 막대한 시너지를 낼 것”이라고 말했다.나아가 크래프톤은 한화그룹이 글로벌 혁신기업 투자를 위해 조성 중인 6700억 원 규모의 대체투자펀드(한화-8090 넥서스 그로우쓰 펀드)에 재무적 투자자(FI)로 참여하는 방안도 검토 중이다. 한화자산운용이 결성하는 이 사모펀드에는 방산·조선 계열(△한화에어로스페이스 1억 5000만 달러 △한화오션 1억 달러 △한화시스템 5000만 달러)과 금융 계열(△한화생명 1억 2000만 달러 △한화손해보험 3000만 달러) 등 한화그룹 주요 계열사들이 핵심 출자자(LP)로 나선다.이처럼 AI를 매개로 한 이종 산업 간 협업이 거스를 수 없는 시대적 흐름으로 자리 잡으면서 생존을 위한 기업들의 움직임도 분주하다. 앞서 정부 주도로 추진 중인 ‘독자 AI 파운데이션 모델 프로젝트’를 기점으로 기술 진보를 향한 범산업적 연대가 시작됐다. 지난달에는 엔씨소프트 자회사 NC AI를 주축으로 기업, 대학, 정부출연연구기관이 참여하는 피지컬 AI 연합체가 출범했으며, 한화로보틱스 또한 피지컬 AI 전문기업 마음AI와 업무협약을 맺고 자율형 로봇 상용화에 나섰다.업계 관계자는 “피지컬 AI 시대에 살아남기 위한 기업 간 전략적 동맹이 가속화하고 있다”며 “단일 기업의 독자적인 기술력과 인프라만으로는 한계가 뚜렷한 만큼 소프트웨어와 하드웨어 기업 간의 연대는 앞으로도 지속될 것”이라고 내다봤다."
"크래프톤-한화에어로스페이스, 피지컬 AI 동맹...합작법인 설립",https://n.news.naver.com/mnews/article/018/0006234153?sid=105,"[이데일리 안유리 기자] 크래프톤(259960)이 한화에어로스페이스와 ‘피지컬 AI’ 분야 전략적 협력에 나선다. 양사는 합작법인(JV) 설립을 추진하고 방위산업을 포함한 다양한 산업 영역에서 공동 기술 개발과 사업화를 모색한다.크래프톤은 한화에어로스페이스와 피지컬 AI 기술 공동 개발 및 JV 설립을 위한 업무협약(MOU)을 체결했다고 12일 밝혔다. 이번 협력은 크래프톤의 인공지능(AI) 연구 역량과 소프트웨어 개발 기술에 한화그룹의 방위산업·제조업 기반 산업 인프라를 결합해 추진된다.양사는 협약에 따라 △피지컬 AI 핵심 기술 공동 연구개발 △실증 및 적용 시나리오 검토 △기술 및 운영 체계 구축 등을 단계적으로 추진할 계획이다. 특히 JV 설립을 통해 공동 개발 성과를 현장 적용과 사업화로 연결하고 중장기 협력 체계를 구축한다는 방침이다.크래프톤이 게임 산업에서 축적해온 데이터 운영 경험과 가상환경 기반 시뮬레이션 기술은 피지컬 AI 학습과 검증 과정의 핵심 자원으로 활용될 전망이다. 이를 바탕으로 실제 환경에서 작동하는 피지컬 AI 기술 완성도를 높이고 현장 적용을 위한 실증을 단계적으로 추진한다.크래프톤은 한화자산운용이 조성한 AI·로보틱스·방위산업 분야 투자 펀드에도 참여한다. 해당 펀드는 목표 결성 규모 10억달러로, 유망 기술 및 기업에 투자해 피지컬 AI 생태계 확장과 기술 경쟁력 강화를 추진할 계획이다.김창한 크래프톤 대표는 “크래프톤의 AI 기술력과 소프트웨어 운영 역량을 한화의 현장 기반 역량과 결합해 실제 환경에서 작동하는 기술 개발을 가속화하겠다”며 “향후 JV 설립을 통해 공동 개발 성과를 사업화로 연결하고 글로벌 방산 기술 기업으로 성장시키겠다”고 말했다.손재일 한화에어로스페이스 대표는 “AI 기술이 산업을 넘어 방산 분야에서 활용되는 피지컬 AI로 빠르게 확장되고 있다”며 “크래프톤과 협력을 통해 미래 방산 분야에서 새로운 기술 패러다임을 만들어가겠다”고 밝혔다.한편 크래프톤은 AI 원천기술을 기반으로 피지컬 AI 연구를 중장기 신사업으로 추진하고 있다. 지난해 미국에 로보틱스 연구법인 ‘루도 로보틱스(Ludo Robotics)’를 설립한 데 이어 올해 2월 한국 법인도 출범했다. 한국 법인은 이강욱 크래프톤 CAIO가 맡고 있으며, CAIO 조직을 중심으로 피지컬 AI 기술 전략을 전개하고 있다.크래프톤은 루도 로보틱스를 통한 로보틱스 연구와 한화그룹과 추진하는 JV 기반 실증 및 사업화를 양 축으로 시너지를 확대해 나갈 계획이다."
"노동행정도 AI로…노동부, 산재 예측 모델 첫 공개",https://n.news.naver.com/mnews/article/421/0008823975?sid=101,"(세종=뉴스1) 나혜윤 기자 = 고용노동부가 인공지능(AI)을 활용해 산업재해 예방과 노동행정 효율화에 나선다. 노동부는 13일 '우리 노동부 인공지능 전환(AX) 세미나'를 열고 산재 위험 사업장을 예측하는 인공지능(AI) 모델과 공무원이 직접 개발한 행정 혁신 사례를 공개했다.노동부에 따르면 노동행정인공지능혁신과가 인공지능(AI) 코딩 에이전트인 클로드 코드와 코덱스를 활용해 직접 만든 산재 예측 인공지능(AI) 초기 모델은 300만 개 사업장의 산재와 감독 이력 등 데이터를 학습했으며 사고 확률이 높은 상위 0.6%(1.9만개)의 위험 사업장을 정밀하게 선별한다.이를 통해 노동부는 선별된 사업장에 한정된 산재 예방 인력과 예산을 집중하면 산재를 효과적으로 감축할 수 있을 것으로 기대 중이다. 산재 예측 AI 초기 모델은 행정의 책임성과 투명성을 확보하기 위해 특정 사업장을 선정한 이유를 논리적으로 제시할 수 있도록 '설명가능한 인공지능(Explainable AI)'으로 만들어졌다.산재 예측 인공지능(AI) 초기 모델의 성능 평가 결과, 인간이 산재 이력 등을 바탕으로 점수를 부여해 중점 관리 대상 사업장을 정하는 방식에 비해 예측 성능을 52% 향상시킬 수 있는 것으로 나타났다.2024년 12월 기준으로 활용 가능한 데이터만으로 300만 개 사업장 중 1만 9000개를 선정할 때, 인간이 고른 사업장에서는 2025년에 193만 일의 근로손실일수가 발생한 반면 인공지능(AI)이 선별한 사업장에서는 101만 일 많은 294만 일이 발생한 것이다.현장 공무원이 실무 효율을 높이기 위해 직접 개발한 도구들도 공개됐다. 강민 부산청 노동감독관이 개발한 '사운드라이터(SoundWriter)'는 수사 과정에서 확보한 방대한 통화 녹음 파일을 인공지능(AI)이 즉시 텍스트로 변환해주는 도구다. 이를 통해 감독관은 사건 실체를 빠르게 파악하여 노동자의 권익을 신속히 구제할 수 있다.한이송 서울서부고용센터 주무관은 구직자의 이력과 직무 역량을 바탕으로 체계적인 서류 작성을 지원하는 '인공지능(AI) 자기소개서 생성기'를 개발해 현장 업무에 적용하고 있다. 구직자가 수십 개 기업에 설득력 있는 맞춤형 자기소개서를 제출하도록 도와야 하는 직업상담 공무원 동료들의 호평을 받았다.노동부는 산재 예측 인공지능(AI) 초기 모델의 실무 적용 가능성을 정밀하게 검토하고 예측 성능을 고도화하는 한편, 임금체불 위험 사업장을 선제적으로 관리하기 위한 '임금체불 예측 인공지능' 개발에도 본격 착수한다. 또 현장의 우수한 개발 사례가 전국으로 확산될 수 있도록 공무원에게 인공지능 코딩 에이전트 지원과 교육을 확대할 방침이다. 김영훈 노동부 장관은 일상 언어로 영세사업장을 위한 일터 안전 점검 웹사이트를 제작하는 '바이브 코딩'을 시연하며 공무원 누구나 국민에게 유용한 소프트웨어를 만드는 미래 행정 모델을 제시했다.김영훈 장관은 ""모든 직원이 능수능란하게 AI를 활용하여 임금체불 사건을 최대한 빨리 해결하고, 산재 취약 사업장에는 족집게처럼 컨설팅과 예산을 지원할 수 있도록 '우리 노동부'의 인공지능 전환에 박차를 가하겠다""라고 강조했다."
크래프톤이 게임AI 넘어 피지컬AI로 보폭 넓히는 이유,https://n.news.naver.com/mnews/article/293/0000080845?sid=105,"크래프톤이 게임 인공지능(AI)을 넘어 피지컬AI로 보폭을 넓히고 있다. 그간 게임 개발과 운영 과정에서 축적한 AI 기술과 가상환경 기반 시뮬레이션 역량을 실제 산업 현장으로 확장하겠다는 구상이다. 한화에어로스페이스와의 전략적 동맹은 이 같은 방향 전환이 연구 단계를 넘어 사업화 국면으로 진입하고 있음을 보여준다.합작법인 설립 후 사업화까지 고려크래프톤은 13일 한화에어로스페이스와 피지컬AI 기술 공동 개발과 합작법인 설립 추진을 위한 업무협약(MOU)을 체결했다고 밝혔다. 양사는 방위산업을 포함한 제조 현장 전반에서 활용 가능한 피지컬AI 기술을 함께 개발한다. 이후 이를 실증과 사업화로 연결하는 중장기 협력 체계를 구축하기로 했다.피지컬AI는 소프트웨어 안에서만 작동하는 생성형 AI와 달리 로봇, 무인체계, 자동화 설비처럼 실제 물리 환경에서 움직이는 시스템에 적용되는 AI를 뜻한다. 크래프톤이 이 시장에 주목하는 배경에는 게임 산업에서 쌓아온 데이터 운영 경험과 시뮬레이션 기술이 있다. 복잡한 가상환경에서 반복 학습·검증하는 역량이 현실 환경에서 작동하는 AI의 완성도를 높이는 데 유효하다는 판단이다.특히 크래프톤은 방대한 이용자 데이터 처리, 실시간 상호작용 설계, 대규모 가상환경 구현 등 게임 산업 특유의 기술 자산을 피지컬AI의 학습·검증 체계로 전환할 수 있다고 보고 있다. 한화그룹의 방산·제조 인프라와 결합하면 연구개발에 그치지 않고 실제 현장 적용까지 이어질 수 있다는 계산도 깔려 있다.10억달러 펀드 조성이번 협력의 핵심은 단순한 공동 연구를 넘어 합작법인 설립과 투자까지 연결된다는 점이다. 양사는 핵심 기술 공동 연구개발, 실증 시나리오 검토, 운영 체계 구축을 단계적으로 추진한다. 이후 합작법인을 통해 개발 성과를 현장에 신속히 적용할 계획이다. 크래프톤은 여기에 한화자산운용이 조성한 글로벌 AI·로보틱스·방위산업 펀드에도 투자자로 참여한다. 목표 결성 규모는 10억달러(약 1조5000억원)다.이는 크래프톤이 피지컬AI를 단일 기술 프로젝트가 아니라 생태계 투자와 밸류체인 확보가 필요한 신사업으로 보고 있다는 의미로 읽힌다. 유망 기술과 기업 투자, 공동 개발, 사업화를 하나의 축으로 묶어 시장 진입 속도를 높이려는 전략이다.김창한 크래프톤 대표가 합작법인을 두고 ""안두릴과 같은 글로벌 방산 기술 기업""으로 키우겠다고 밝힌 대목도 같은 맥락이다. 미국 방산 스타트업 안두릴처럼 소프트웨어 중심 기술 기업이 방산 시장의 새로운 플레이어가 되는 모델을 염두에 둔 것이다.크래프톤은 이미 미국 샌프란시스코에 AI 로보틱스 기업 루도로보틱스를 설립하고, 김창한 대표가 직접 최고경영자(CEO)를 맡고 있다. 크래프톤 AI본부를 이끌어온 이강욱 최고인공지능책임자(CAIO)는 루도로보틱스 최고기술책임자(CTO)와 한국법인 대표를 겸하고 있다.크래프톤은 정부가 추진하는 독자AI파운데이션 모델 프로젝트에도 SK텔레콤 주도의 정예팀 핵심 멤버로 참여하고 있다. 독자AI파운데이션 모델 프로젝트는 한국형 '국가대표 AI'를 만들기 위해 개발 전 과정을 국내 역량으로 수행하도록 설계한 국가주도 개발사업이다. 이 과정에서 크래프톤은 피지컬AI 분야 학습까지 염두에 둔 파운데이션 모델 고도화에도 힘을 싣고 있다. 업계 한 관계자는 ""게임사는 가상환경에서 AI를 학습시키고 검증하는 데 강점이 있고 피지컬AI는 이런 역량을 현실 세계로 옮겨올 수 있는 대표적 분야""라며 ""크래프톤 입장에서는 게임 산업 성장 둔화 가능성에 대비해 AI를 차세대 성장축으로 키우겠다는 의도가 깔린 것""이라고 말했다."
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://n.news.naver.com/mnews/article/015/0005261808?sid=101,"KB증권은 13일 SK하이닉스에 대해 ""인공지능(AI) 메모리 반도체 수요 급증의 최대 수혜 기업""이라며 목표주가를 기존 140만원에서 170만원으로 상향 조정했다. 투자의견 '매수'는 유지했다.이 증권사 김동원 리서치본부장은 ""올 1분기 영업이익은 전년 동기 대비 4.2배 증가한 31조원으로 추정되고 2분기 또한 40조원으로 예상돼 어닝 서프라이즈가 기대된다""며 ""이는 1분기 D램과 낸드 가격 상승률이 전분기 대비 각각 47%와 44%로 지난해 4분기 상승률을 크게 웃돌 것으로 전망하기 때문""이라고 분석했다.이어 ""특히 올해 낸드 영업이익은 기업용 솔리드스테이트드라이브(eSSD) 수요 확대와 함께 엔비디아 '루빈' AI 플랫폼에 신규 채택되는 저장장치 공급 증가에 힘입어 전년 대비 14배 증가할 것으로 추정된다""며 ""이에 따라 올해 영업이익은 177조원으로 전년 대비 약 4배 증가할 전망""이라고 내다봤다.그는 ""최근 글로벌 서버 고객사들은 가격과 무관하게 메모리 물량 확보에 집중하고 있다""며 ""이에 따라 AI 데이터센터 업체들이 전체 D램과 낸드 출하량의 60% 이상을 흡수하고 있는 상황""이라고 짚었다.또 ""더욱이 글로벌 빅테크 기업들은 추론 AI 성능의 급격한 향상과 오는 2030년 범용인공지능(AGI) 시대에 대비한 피지컬 AI 시장 진입을 위해 AI 인프라 투자를 2배 이상 확대하고 있다""며 ""물량과 가격을 동시에 보장하는 3~5년 장기공급계약 체결이 빠르게 증가하고 있어 향후 실적 추정치 상향 가능성도 높다""고 봤다.그러면서 ""결국 SK하이닉스는 올해 고성장 국면에 진입했음에도 현재 주가는 주가수익비율(PER) 4.3배 수준에 머물러 있다""며 ""지금은 SK하이닉스가 대표적인 고성장 가치주로 재평가될 가능성이 높은 시점""이라고 덧붙였다."
