title,href,article
구글·엔비디아가 하던 '월드모델'…NC AI도 뛰어들었다,https://n.news.naver.com/mnews/article/015/0005262632?sid=105,"
엔씨소프트의 인공지능(AI) 조직 NC AI가 로봇의 ‘두뇌’로 불리는 월드 모델 연구 성과를 공개했다. 월드 모델은 로봇이 현실 세계의 물리 환경을 이해하고 행동을 결정하도록 하는 피지컬 인공지능(AI)의 핵심 기술로 꼽힌다. 구글과 엔비디아 등 글로벌 빅테크가 연구를 주도해 온 분야다. 국내 게임사가 관련 연구 결과를 공개한 것은 처음이라는 평가가 나온다.로봇 인공지능 분야에서 월드 모델은 최근 가장 주목받는 기술 중 하나다. 가상 환경에서 학습한 로봇이 실제 환경에서도 동일하게 작동하도록 만드는 것이 핵심이다. 현재 로봇 개발의 가장 큰 난제로 꼽히는 ‘시뮬레이션-현실 격차(Sim-to-Real Gap)’ 문제를 해결할 수 있는 접근법으로 구글 딥마인드와 엔비디아 등이 연구를 진행하고 있다. 가상 환경에서는 완벽하게 동작하던 로봇이 현실 세계의 미세한 마찰이나 물리적 변수 때문에 실패하는 현상을 줄이는 것이 목표다.NC AI는 기존 방식과 달리 영상 생성 과정을 거치지 않고 잠재공간(latent space) 정보에서 바로 행동을 생성하는 구조를 적용했다고 설명했다. 이를 통해 계산 효율성과 정확도를 동시에 높였다는 것이다. NC AI는 글로벌 최고 수준 모델 대비 약 25% 수준의 그래픽처리장치(GPU) 자원만으로 모델 학습을 진행했다고 밝혔다. 엔씨소프트가 20년 이상 다중접속역할수행게임(MMORPG)을 운영하며 축적한 가상 세계 구축 기술과 자체 3차원(3D) 생성 모델 ‘바르코 3D(VARCO 3D)’가 결합된 결과라는 설명이다.성능도 실무 적용 가능성을 확인하는 수준까지 끌어올렸다는 것이 회사 측 설명이다. 로봇 팔의 복잡한 움직임을 제어하는 24개 조작 태스크를 대상으로 한 테스트에서 글로벌 최고 수준(SOTA) 모델 대비 약 70% 수준의 성능을 기록했다. 실제 현장 적용과 직결되는 핵심 18개 태스크 기준으로는 엔비디아의 로봇 인공지능 모델 ‘코스모스(Cosmos)’ 등 최고 성능 모델의 약 80% 수준의 성공률을 확보했다고 밝혔다.NC AI는 향후 월드 모델을 활용해 로봇 학습에 필요한 대규모 합성 데이터 생성 파이프라인도 구축할 계획이다. 로봇 학습에 필요한 데이터를 가상 환경에서 대량 생성해 데이터 부족 문제를 해결하겠다는 구상이다. 
"
"삼성물산·해밀리, 시니어 레지던스에 AI기술 적용 협력",https://n.news.naver.com/mnews/article/001/0015960690?sid=101,"
의왕 메디컬 레지던스에 'AI 시니어 리빙 설루션' 구축 협약(서울=연합뉴스) 임기창 기자 = 삼성물산은 지난 13일 건강기능식품 업체 해밀리와 업무협약을 맺고 해밀리가 개발을 추진 중인 경기도 의왕 메디컬 콤플렉스 내 시니어 레지던스에 'AI(인공지능) 시니어 리빙 설루션'을 구축하는 데 협력하기로 했다고 16일 밝혔다.    삼성물산은 초고령사회에 대응해 AI, 데이터, 사물인터넷(IoT) 등 기술을 활용해 고령자들의 일상과 전문가의 돌봄을 연결하는 AI 시니어 리빙 설루션을 하반기 출시할 계획이다.    설루션은 초개인화 웰니스 코칭, 24시간 안전관리 등 서비스를 통해 고령자들이 독립적이고 능동적으로 건강한 삶을 영위하도록 지원한다고 삼성물산은 설명했다. 시니어 레지던스 운영자에게는 거주자 실시간 대시보드, AI 챗봇 매니저 등 서비스가 제공된다.    삼성물산은 협약에 따라 의왕 메디컬 레지던스의 상세 서비스 계획 수립에 대한 컨설팅을 제공하고, 해밀리와 함께 2030년 입주까지 단계적으로 서비스를 고도화할 계획이다.    의왕 메디컬 콤플렉스는 의왕시 최초 종합병원(250병상)과 약 570세대 규모의 시니어 레지던스, 오피스텔 등이 유기적으로 연계되는 스마트 의료·주거 복합단지다. 해밀리 대표이자 통합의학 권위자인 황성주 박사가 구상한 '미래융합의학 기반 스마트 메디컬 레지던스' 비전이 반영됐다.    조혜정 삼성물산 부사장(DxP본부장)은 ""주거용 '홈닉', 빌딩용 '바인드'에서 쌓아온 디지털 경험 혁신 노하우를 활용해 시니어 리빙이라는 새로운 영역에 집중할 계획""이라며 ""해밀리의 의료·헬스케어 전문성과 삼성물산 AI 시니어 리빙 설루션의 결합은 프리미엄 시니어 레지던스 모델을 선도하는 출발점이 될 것""이라고 말했다.    pulse@yna.co.kr
"
"""BTS가 불러온 이통3사 진검승부""…광화문서 'AI 네트워크’ 시험대 펼쳐...",https://n.news.naver.com/mnews/article/003/0013822682?sid=101,"
[서울=뉴시스]이주영 기자 = 이동통신 3사가 21일 서울 광화문 광장에서 열리는 BTS 공연을 앞두고 인공지능(AI) 기반 네트워크 기술을 총동원한다. 최대 26만명이 몰릴 것으로 예상되면서 이동통신사들의 차세대 통신망 운영 기술을 시험하는 무대가 될 전망이다.과거 대규모 행사 때마다 이동기지국을 배치하는 '물량 공세'에 집중했던 이동통신 3사는 이번 공연을 기점으로 AI가 트래픽을 스스로 예측하고 제어하는 지능형 망 기술을 전면에 내세웠다. 인파 밀집으로 통신 트래픽이 급증하면 데이터 접속 장애가 발생할 수 있어 AI 등 차세대 기술을 활용한 통신망 사전 대응이 필요하다는 판단이다.이에 대응해 SK텔레콤의 AI 기반 망 운영 시스템 'A-One'부터 KT의 실시간 트래픽 제어 솔루션 'W-SDN', LG유플러스의 자율네트워크 기술까지 각사의 자존심을 건 AI 기술이 투입된다.SKT, AI로 트래픽 실시간 모니터링SK텔레콤은 이번 행사에서 자체 개발한 AI 기반 네트워크 운영 시스템 'A-One'을 처음으로 현장에 적용한다. A-원은 과거 대규모 행사 데이터를 학습해 미래 트래픽을 예측하고, 최적의 기지국 설치 위치를 제안하는 시스템이다.SK텔레콤은 광화문부터 시청까지를 인파 밀집도에 따라 3개 구역으로 세분화했다. 사진·영상 업로드가 집중되는 '공연장 내부', 실시간 생중계 시청이 많은 '외부 대기석', 인파 이동이 잦은 '주변 도로'별로 통신망을 다르게 설계해 효율성을 높인다는 구상이다.공연 당일에는 A-원을 활용해 트래픽을 실시간으로 모니터링하고 접속 이용자 수 증가나 통신 품질 변화, 장비 이상이 발생할 경우 즉각 대응할 방침이다.KT, 1분 이내에 기지국 과부하 제어하는 AI 투입KT는 AI 기반 트래픽 자동 제어 솔루션인 'W-SDN'을 전면에 내세운다. 이 기술은 기지국 과부하 징후를 실시간으로 감지해 1분 이내에 트래픽을 분산 처리한다. 소셜네트워크서비스(SNS) 업로드와 라이브 방송으로 인한 트래픽 폭증을 대비하기 위한 대응책이다.광화문 일대에 이동기지국 6대를 배치하고 무선 기지국 79식, 와이파이 14식을 추가로 구축했다. 공연 당일에는 과천 네트워크관제센터와 현장에 총 80여 명의 전문 인력을 배치해 24시간 비상 근무 체계를 유지한다.고화질·대용량 스트리밍 트래픽 증가에 대비해 백본 네트워크 용량도 대량으로 확보했다. 국내 시청자는 물론 해외 시청자들도 끊김 없이 공연을 시청할 수 있는 네트워크 환경을 제공하기 위함이다.LGU+, 인파 밀집 맞춤형 자율네트워크 기술 적용LG유플러스는 자율네트워크 기술을 활용해 행사 전 트래픽 변동을 예측하고, 행사 중에는 현장과 상황실이 연계된 운영 체계를 통해 품질을 관리할 계획이다.광화문 일대 이동통신 셀(cell)의 운영 조건을 사전에 설정하고, 행사 중에는 실시간으로 트래픽을 자동 모니터링한다. 특정 셀에 트래픽이 집중될 경우 기지국 출력이나 연결 유지 시간 등 운영 설정값(파라미터)을 자동 조정해 트래픽을 주변 기지국으로 분산하는 방식이다.행사에 앞서 광화문 광장과 인근 주요 지역 10여 곳에 이동기지국과 임시 중계기를 추가 배치해 LTE와 5G 트래픽이 특정 구간에 과도하게 몰리지 않도록 대비할 예정이다．
"
SKT 정재헌 “1인 1 AI 에이전트 목표…전사 AX 혁신 가속”,https://n.news.naver.com/mnews/article/016/0002613942?sid=105,"
구성원이 AI 에이전트 만드는 AX 본격 추진특화AI 개발 플랫폼…연중 단계별 교육도SKT 구성원이 전용 플랫폼 ‘AXMS’를 활용하고 있는 모습 [SKT 제공][헤럴드경제=차민주 기자] SK텔레콤이 ‘함께 만들어가는 변화, 인공지능 전환(AX)’라는 표어를 내걸고 전사 AX 전환을 가속한다. 기존 업무를 자동화하는 수준을 넘어, 전 구성원이 직접 AI 에이전트를 개발하도록 지원한단 방침이다.16일 SKT는 비개발직군을 포함한 모든 구성원이 업무에 특화된 인공지능(AI)을 만든다는 ‘1인 1 AI 에이전트’ 목표와 관련 로드맵을 사내에 공개했다고 밝혔다.우선 SKT는 코딩에 대한 경험과 지식이 없어도 에이전트를 만들 수 있도록 ▷범용성이 강한 ‘에이닷 비즈’ ▷마케팅 및 데이터 추출에 특화된 ‘폴라리스’ ▷네트워크 데이터 분석 및 코딩을 돕는 ‘플레이그라운드’ 등의 플랫폼을 제공한다.구성원은 해당 플랫폼을 활용해 자연어 형식으로 질문을 하거나, 블록쌓기하듯 모듈을 조합해 실무에서 사용할 수 있는 AI 에이전트를 생성할 수 있다.AX가 기업문화에 녹아들도록 지원하는 시스템인 ‘AXMS(AX Management System)’도 가동을 시작한다. AXMS는 개인이 제출한 아이디어와 진행 과정, 피드백 등을 공개해 중복 업무를 방지하는 역할을 한다. 이를 실시간으로 확인할 수 있는 대시보드도 제공한다.SKT 구성원이 전용 플랫폼 ‘AXMS’를 활용하고 있는 모습 [SKT 제공]SKT는 AX 아이디어 공모와 교육도 지속해서 전개할 예정이다. 지난 2월부터 시행 중인 ‘AX 혁신 아이디어 공모전’에는 약 180건의 의견이 접수됐다. 이 중 핵심 프로젝트를 패스트트랙으로 선정해 올 3분기 내 상용화를 목표로 실무자와 개발 부서가 공동 개발에 나섰다.이 밖에도 프론티어 교육, 디자인 캠프, 부트캠프 등 단계별 프로그램을 운영해 구성원의 AI 활용 능력을 끌어올릴 계획이다. 특히 상반기 중 해커톤을 개최하고, 하반기에 2차 AX 프로젝트 선정과 우수 성과 포상 등으로 성공 사례를 전사에 확산한다.아울러 SKT는 AX 성공 사례를 이미 업무에 적용했다고 강조했다. ‘보안 코딩 검증 자동화’는 AI가 코딩을 검토해 오류를 예방하고, 수정 방안을 제안하는 기능을 갖췄다. 이를 통해 담당자의 업무시간이 연 30%(약 3000시간) 단축됐다고 SKT는 설명했다.또 위치 분석 설루션 ‘리트머스(LITMUS)’는 교통·유동 인구의 이동, 수단을 추론하는 AI 알고리즘을 결합해 지자체 공급 등 사업 성과를 창출했다.정재헌 SKT 최고경영자(CEO)는 “AI 전환은 화려한 기술이 아닌, 업무 현장에 있는 구성원의 작은 개선에서 시작된다”며 “우리의 문제는 현장에 답이 있다는 ‘우문현답’의 자세로 AI를 통해 불편을 해결하려는 시도가 모인다면 SKT만의 AX를 돌리는 동력이 될 것”이라고 밝혔다.
"
"삼성전자 '가전 원격진단' 서비스, 'AI 트러스트 마크' 취득...국내 최초",https://n.news.naver.com/mnews/article/092/0002414481?sid=105,"
삼성전자 '가전제품 원격진단' 서비스가 글로벌 인증기관 '넴코(Nemko)'가 주관하는 'AI 트러스트 마크'를 국내 최초로 취득했다.가전제품 원격진단 서비스는 제품 상태를 원격으로 모니터링하고 인공지능(AI)으로 분석한 내용을 토대로 전문 상담사가 진단과 상담을 제공하는 서비스다.한국 등 전세계 120여 개국에서 서비스되고 있다. 넴코는 90년 이상 역사를 가진 노르웨이 기반 글로벌 시험 인증기관이다. 150여 개국 규격 인증을 관리한다. 2024년부터 AI 시스템의 기술적 투명성과 윤리적 안정성을 보증하는 'AI 트러스트 마크'를 운영하고 있다.삼성전자의 '가전제품 원격진단' 서비스가 글로벌 인증 기관 '넴코'가 주관하는 'AI 트러스트 마크'를 국내 최초로 취득했다.(사진=삼성전자)AI 트러스트 마크는 AI 기술을 적용된 제품과 서비스의 데이터 거버넌스, 정보 투명성·정확도, 사이버 보안 등 국제 윤리 가이드라인과 안전 표준 준수 여부를 검증하고 인증한다.유럽 AI법과 ISO/IEC 42001 국제 표준 등 규제 요건을 기반으로 심사해 글로벌 수준 신뢰도를 보장한다.삼성전자 가전제품 원격진단 서비스는 개인정보 보호와 서비스 신뢰성 확보를 위한 관리 체계 우수성을 인정 받았다. 가전제품 원격진단은 AI를 통해 사용자가 인지하기 어려운 가전제품 이상 징후를 사전에 포착해 관리한다. ▲냉매 누설 예측 ▲미세 문열림 진단 ▲유분 증착 예측 등이 대표적이다.사용자는 가전제품 원격진단 서비스로 제품 고장을 미리 관리해 제품을 더 오래 사용할 수 있고, 원격으로 문제를 해결할 수 있기 때문에 시간과 비용도 절약할 수 있다.가전제품 원격진단 서비스는 한국표준협회 'AI+ 인증'도 취득했다. AI+ 인증은 ISO·IEC 국제 표준을 기반으로 AI 제품 소프트웨어 품질과 인공지능경영시스템을 심사하고 인증하는 제도다.가전제품 원격진단 서비스는 ▲ AI 모델 성능 ▲ 소프트웨어 제품 품질 ▲ AI 신뢰성 등 품질 전반에서 우수한 평가를 받았다.문종승 삼성전자 DA사업부 부사장은 ""이번 인증으로 삼성전자 AI 가전 기술력뿐만 아니라 윤리적 책임감과 신뢰성을 다시 한번 입증했다""며 ""앞으로도 소비자들이 안심하고 혁신적인 AI 가전 경험을 누리도록 글로벌 표준에 부합하는 보안과 신뢰성을 지속 강화하겠다""고 말했다.
"
닭·돼지·소까지...ASF·AI에 무너지는 식탁 물가,https://n.news.naver.com/mnews/article/666/0000099296?sid=101,"
  고병원성 조류인플루엔자(AI)와 아프리카돼지열병(ASF)이 수개월째 계속 발생하면서 축산물 가격이 크게 오르고 있다.   16일 축산물품질평가원 축산물유통정보에 따르면 계란 특란 10개 평균 소비자가격은 지난주 기준 3천892원으로 1년 전보다 19.64% 올랐다.   또 지난주 계란 특란 30개(한 판) 평균 가격은 6천797원으로, 1년 전 같은 기간보다 8.9% 비싸졌다.   닭고기 가격도 마찬가지다. 지난주 육계 가격은 ㎏당 6천252원으로 작년 동기 대비 7.9% 오른 수치다.   돼지고기 가격도 아프리카돼지열병 확산 영향으로 인해 계속 상승하는 중이다.   이달 둘째 주 기준 삼겹살은 100ｇ당 2천629원, 목살은 2천456원으로 1년 전 같은 기간보다 각각 6.2%, 4.3% 비싸다. 앞다릿살은 1천531원으로 작년보다 10.4% 올랐다.   한우 가격 또한 지난해보다 크게 상승했다.   이달 둘째 주 기준 1+등급의 안심 평균가는 100ｇ당 1만4천856원으로 작년보다 8.5% 올랐다. 등심은 100ｇ 1만2천315원으로 지난해보다 17% 올랐다.   양지 가격은 100ｇ 6천553원으로 11% 급등했다.   한편, 고병원성 조류인플루엔자가 6개월간 지속되며 계란값이 상승한 건 생산이 감소해서다. 2025∼2026년 동절기 고병원성 조류인플루엔자로 인한 산란계 살처분은 980만 마리가 넘어 1천만 마리정도다. 1년 전(483만 마리)의 약 2배로, 2~3년 전과 비교하면 약 4배 수준이다.   이번 동절기 고병원성 조류인플루엔자 발생 건수는 56건으로 2022∼2023년 32건과 2024∼2025년 49건을 크게 넘어섰다.   돼지고기 가격 상승은 아프리카돼지열병 발생에 따른 이동 제한으로 도축 마릿수가 줄어든 영향이 큰 것으로 전해졌다. 지난달 돼지 도축 마릿수는 조업 일수 감소까지 맞물리며 작년보다 15% 이상 감소했다.
		"
전남 섬마을 어르신 AI 돌봄 서비스,https://n.news.naver.com/mnews/article/022/0004113025?sid=102,"
道 공모사업 선정… 국비 1.2억 확보100여명 대상 24시간 밀착 케어전남도가 의료·복지 사각지대에 놓인 섬 지역 어르신들을 위해 인공지능(AI) 기반의 첨단 돌봄 시스템을 구축한다. 지리적 한계로 서비스 이용이 어려웠던 섬마을에 디지털 기술을 접목한 ‘전남형 통합돌봄’ 모델이 본격 가동될 전망이다.     전남도는 보건복지부 주관 ‘2026년 사회서비스 취약지 공모사업’에 최종 선정돼 국비 1억2600만원을 확보했다고 밝혔다. 이는 전국 6개 시·도 중 강원도와 함께 가장 많은 사업비로 당초 공모 신청 기준액의 두 배에 달하는 성과다.     이번 사업은 인구 감소와 응급의료 인프라 부족이 심각한 고흥·완도·진도·신안 등 4개 군의 섬 지역 어르신 100여명을 대상으로 추진된다. 주요 내용은 △AI 돌봄로봇을 활용한 24시간 생활밀착 돌봄 △비대면 전문 심리상담 △고령자 맞춤형 케어푸드 제공 등이다.     핵심은 가정 내 설치되는 ‘AI 돌봄로봇’이다. 이 로봇은 단순한 말벗 기능을 넘어 복약 알림, 안부 확인 등 일상적인 케어를 수행한다.     특히 어르신의 대화 내용과 활동 패턴을 실시간 분석해 위기 징후가 포착되면 즉시 관리자에게 알리고, 필요시 전문가와의 비대면 상담을 연결하는 ‘스마트 안전망’ 역할을 한다.
"
"JBL, AI 기반 앰프 겸 스피커 'JBL 밴드박스' 출시",https://n.news.naver.com/mnews/article/001/0015960933?sid=103,"
보컬·악기 분리하는 AI 기술 탑재…""뮤지션의 니즈 정확히 충족""    (서울=연합뉴스) 한지은 기자 = 하만 인터내셔널의 오디오 브랜드 JBL은 인공지능(AI) 기반 앰프 겸 스피커 'JBL 밴드박스'를 출시했다고 16일 밝혔다.    신제품은 휴대용 스피커와 연습용 앰프 기능을 결합한 제품으로, 초보자부터 전문 뮤지션까지 사용할 수 있도록 설계됐다.     실시간 보컬·악기 분리 기능인 '스템 AI'를 탑재해 원하는 트랙의 보컬이나 기타·드럼 등을 분리하거나 제거해 연주 연습과 즉흥 연주에 활용할 수 있다.    기타·마이크 입력 1개를 지원하는 개인 연주용 모델 '밴드박스 솔로'와 4개 악기 입력·4채널 믹서를 지원하는 '밴드박스 트리오' 두 모델로 출시됐다.    그레이스 고 하만 인터내셔널 아시아 태평양 컨슈머 오디오 총괄은 ""JBL 밴드박스는 뮤지션의 니즈를 정확하게 충족시키는 것을 목표로 최첨단 기술과 결합해 개발된 제품""이라고 강조했다.    writer@yna.co.kr
"
"AI로 조리사 복장·위생 체크, 이상 상황 감지…주방과 만난 AI",https://n.news.naver.com/mnews/article/032/0003433488?sid=101,"
테크와 라이프 부문으로 인적 분할을 추진 중인 한화그룹이 시너지 창출을 위한 새 사업 모델 개발에 본격적으로 착수했다고 16일 밝혔다.우선 단체 급식과 식자재 유통 등 식품 시장 개척에 주력하고 있는 아워홈은 안전사고 예방, 식품 위생·품질 관리, 원활한 식자재 공급 등을 위해 한화비전의 인공지능(AI) 기술을 일부 사업장에 시범 도입한다.주방에 설치된 AI 카메라는 조리사 입장과 동시에 복장과 위생 수칙 준수 여부 등을 실시간 점검한다. 주변의 이상 소리와 온도 등을 감지해 화재 등 사고를 예방하는 ‘안전 지킴이’ 역할도 수행한다.한화비전 관계자는 “작업자 상태와 조리실 상황을 AI 기술을 통해 실시간으로 지켜볼 수 있어 위생, 안전 관리가 훨씬 수월해질 것”이라면서 “이전보다 조리 집중도가 높아지면서 음식 품질도 향상될 것으로 기대한다”고 설명했다.효율적인 식자재 공급을 위해 ‘지능형 자동 발주 시스템’ 적용도 추진한다. 식재료를 입고할 때 바코드 인식과 영상 촬영 기능이 통합된 ‘BCR 카메라’가 실시간 재고를 자동 등록한다. 또 AI 카메라로 이용자들의 선호 식단을 분석해 메뉴를 개선하는 작업도 진행한다.갤러리아백화점, 호텔·리조트 곳곳에도 고객 편의 향상을 위해 한화비전과 한화로보틱스의 첨단기술을 활용한 ‘맞춤형 서비스’ 도입을 추진한다. 다양한 고객이 모이는 백화점의 특성을 고려해 AI 카메라를 통한 매장 혼잡도, 고객 선호 등을 파악한다.AI 카메라에 이상 상황이 포착되면 직원에게 곧바로 알림을 보내 대응하도록 하는 시스템도 구축한다. 백화점이나 리조트 등에 있는 식당에는 한화로보틱스의 조리 로봇을 적극적으로 활용한다.한화갤러리아 관계자는 “앞으로 테크 솔루션 부문과의 협력이 본격화하면 고객 응대와 서비스의 질이 한층 강화될 것”이라면서 “패턴 분석 등 다양한 데이터 축적을 통해 맞춤형 서비스를 제공하는 동시에 매출 증대를 이뤄나갈 것”이라고 밝혔다.앞서 한화그룹은 지난 1월 테크·라이프 부문을 신설 법인으로 떼어내는 인적 분할을 오는 7월까지 진행한다고 발표했다. 인적 분할이 되면 한화비전·한화모멘텀·한화세미텍·한화로보틱스 등 테크 분야 계열사와 한화갤러리아·한화호텔앤드리조트·아워홈 등 라이프 분야 계열사는 신설법인인 ‘한화머시너리앤서비스홀딩스’에 속하게 된다. 한화에어로스페이스·한화오션·한화솔루션·한화생명 등 방산·조선·해양·에너지·금융 계열사는 그대로 ㈜한화에 속한다.한화그룹 관계자는 “부문 간 시너지는 한화머시너리앤서비스홀딩스가 그리는 청사진을 보여주는 주요 지표 중 하나”라면서 “지속적인 연구개발(R&D) 투자와 협업을 통해 우리 일상을 보다 편리하고 윤택하게 만들 수 있는 다양한 기술을 개발해 나갈 것”이라고 밝혔다.
		"
"네이버클라우드-한국외대, AI 캠퍼스·인재양성 맞손",https://n.news.naver.com/mnews/article/421/0008827799?sid=105,"
(서울=뉴스1) 이기범 기자 = 네이버클라우드는 한국외국어대와 인공지능(AI) 기반 스마트캠퍼스 구축 및 AI 전문 인재 양성을 위한 업무협약(MOU)을 체결했다고 16일 밝혔다.이번 협약으로 네이버클라우드는 AI 인프라와 설루션을 바탕으로 대학 연구 환경에 최적화된 고성능 그래픽처리장치(GPU)를 제공하고, 하이퍼클로바X 기반 AI 행정·학습 서비스를 구축한다. 또 자사 AI 설루션에 한국외대 언어 역량을 결합한 다국어 행정 서비스도 선보인다.미래형 스마트캠퍼스 구축에도 나선다. 얼굴 인식 기반 출입 및 결제 시스템을 고도화하고, 자사 AI 협업 플랫폼 '네이버웍스' 기반의 스마트·행정·학습 환경을 조성할 계획이다.AI 인재 양성에도 협력한다. 네이버클라우드 아카데미 및 네이버 클라우드 플랫폼 교육 과정을 대학 정규 커리큘럼과 연계하고 채용 연계 및 공동 연구 확대에 나선다.김유원 네이버클라우드 대표는 ""이번 협력을 통해 AI 기술이 실제 교육과 연구 현장에 활용되는 혁신 생태계를 조성할 것으로 기대한다""며 ""네이버 제2사옥인 1784와 같이 한국외대 또한 AI와 클라우드를 기반으로 한 혁신의 테스트베드가 될 수 있도록 지원하겠다""고 말했다.강기훈 한국외대 총장은 ""언어·지역·인문 기반의 글로벌 지식과 AI 기술을 결합하여 다양한 분야에서 새로운 가치를 창출하는 모범적인 산학협력 모델로 발전하기를 기대한다""고 말했다.
		"
