식품명,탄수화물,지방,단백질,나트륨,총칼로리
국밥_돼지머리,15.94,5.16,6.70,181.000,137.000
국밥_순대국밥,10.38,2.28,3.17,126.000,75.00
국밥_콩나물,10.93,0.24,1.45,172.000,52.00
기장밥,36.77,0.57,3.44,1.00,166.000
김밥,19.98,4.55,4.84,307.000,140.000
김밥_김치,19.17,4.03,4.30,349.000,130.000
김밥_날치알,28.66,4.26,6.10,299.000,177.000
김밥_돈가스,31.64,5.81,5.77,241.000,202.000
김밥_소고기,25.78,5.56,6.46,267.000,179.000
김밥_참치,20.26,7.22,7.00,335.000,174.000
김밥_채소,26.65,3.65,4.60,309.000,158.000
김밥_치즈,22.10,7.03,6.24,169.000,177.000
김밥_풋고추,27.52,4.41,4.88,327.000,169.000
덮밥_낙지,24.12,3.34,5.88,212.000,150.000
덮밥_닭고기,14.82,2.18,11.40,153.000,125.000
덮밥_돼지고기(제육),16.86,10.77,9.43,174.000,202.000
덮밥_불고기,26.96,5.31,6.60,253.000,182.000
덮밥_오징어,21.94,2.01,7.18,162.000,135.000
보리밥,36.77,0.24,2.90,4.00,161.000
볶음밥,33.97,2.76,5.56,212.000,183.000
볶음밥_계란,24.23,11.28,6.62,318.000,225.000
볶음밥_김치,15.74,9.18,5.32,470.000,167.000
볶음밥_새우,22.85,6.14,6.31,146.000,172.000
볶음밥_소고기,21.76,6.48,7.59,215.000,176.000
볶음밥_참치,32.90,3.27,4.62,631.000,180.000
볶음밥_채소,28.74,5.39,4.72,408.000,182.000
볶음밥_표고버섯,31.79,4.81,3.36,299.000,184.000
비빔밥,18.84,4.32,6.86,232.000,142.000
비빔밥_돌솥,24.68,2.95,5.39,337.000,147.000
비빔밥_육회,22.92,3.36,6.39,446.000,147.000
삼각김밥_참치마요네즈,25.45,8.21,5.93,230.000,199.000
수수밥,35.02,0.92,3.16,1.00,161.000
알밥,15.75,5.11,4.73,430.000,128.000
영양돌솥밥,36.06,2.87,3.43,6.00,184.000
오므라이스,20.54,7.23,6.50,433.000,173.000
자장밥,15.57,4.72,4.27,236.000,122.000
잡곡밥,29.33,0.87,5.30,3.00,146.000
잡채밥,25.79,3.42,4.02,227.000,150.000
주먹밥_소고기,34.73,2.18,4.76,357.000,178.000
짬뽕밥,11.65,1.40,3.20,234.000,72.00
차조밥,34.86,0.65,2.84,1.00,157.000
찰밥,33.56,0.18,4.39,3.00,153.000
초밥_모듬,26.72,1.59,9.66,142.000,160.000
초밥_유부초밥,29.82,5.77,5.78,386.000,194.000
카레라이스,20.74,1.40,3.11,210.000,108.000
콩나물밥,22.39,1.58,4.68,272.000,123.000
콩밥_검정콩,34.30,1.12,4.53,3.00,165.000
콩밥_완두콩,31.25,0.16,2.95,295.000,138.000
하이라이스,21.34,1.13,4.02,246.000,112.000
현미밥,38.90,0.47,3.10,2.00,172.000
회덮밥_모듬,17.76,4.15,9.10,155.000,145.000
가래떡,43.73,0.51,3.92,241.000,195.000
경단_깨,38.58,6.72,6.28,203.000,240.000
꿀떡,49.48,1.73,3.74,275.000,228.000
모듬찰떡,42.27,2.44,6.78,188.000,218.000
백설기,50.40,1.45,3.71,211.000,230.000
송편_깨,42.83,3.23,4.65,260.000,219.000
시루떡,48.13,1.85,3.77,195.000,224.000
약식,45.24,2.45,4.21,221.000,220.000
인절미,50.07,2.16,5.64,297.000,242.000
절편_쑥,34.87,2.42,7.72,192.000,192.000
증편,44.15,1.20,3.17,284.000,200.000
찹쌀떡_팥,62.93,2.53,5.06,140.000,295.000
도넛_링도넛,46.16,33.17,7.85,537.000,515.000
도넛_찹쌀,55.56,4.64,6.00,312.000,288.000
마늘빵,57.94,17.58,12.06,519.000,438.000
머핀,59.15,13.84,5.73,411.000,384.000
모닝빵,52.17,7.43,9.50,489.000,314.000
모카빵,57.96,8.05,8.55,354.000,339.000
베이글,53.48,5.83,10.00,695.000,306.000
샌드위치_닭가슴살,20.96,11.92,12.18,438.000,240.000
샌드위치_모듬,8.44,13.44,9.50,358.000,193.000
샌드위치_참치,13.78,11.65,10.54,209.000,202.000
샌드위치_채소,23.82,14.75,4.08,426.000,244.000
샌드위치_햄_달걀,15.64,11.92,12.44,699.000,220.000
소보로빵,55.63,15.13,8.27,396.000,392.000
식빵,50.91,2.60,9.34,468.000,264.000
초코소라빵,51.76,10.93,3.29,215.000,319.000
츄러스,58.17,11.29,6.60,363.000,361.000
카스텔라,47.99,11.47,10.03,63.00,335.000
케이크_롤케이크,44.01,11.83,7.36,143.000,312.000
케이크_생크림케이크,27.62,12.54,3.45,151.000,237.000
크로와상,43.31,26.98,7.52,457.000,446.000
파이/만주_사과파이,34.83,3.91,2.54,204.000,185.000
페이스트리,41.50,29.66,8.31,373.000,466.000
피자_콤비네이션피자,25.54,14.36,10.68,441.000,274.000
피자빵,31.76,15.05,8.85,637.000,298.000
햄버거,21.67,13.98,12.85,450.000,264.000
햄버거_불고기버거,22.68,11.52,13.88,338.000,250.000
호떡_견과류,57.12,7.07,5.41,211.000,314.000
간자장,15.13,4.89,5.12,455.000,125.000
국수_막국수,23.90,1.61,5.80,405.000,133.000
국수_비빔국수,20.47,0.95,3.01,239.000,102.000
국수_잔치국수,8.05,0.49,1.93,216.000,44.00
국수_쟁반막국수,12.81,4.56,6.68,513.000,119.000
냉면_물냉면,10.31,0.64,1.96,161.000,55.00
냉면_비빔냉면,13.35,2.64,5.67,177.000,100.000
냉면_회냉면_홍어,22.21,4.02,5.81,99.00,148.000
떡국,16.37,0.53,3.43,176.000,84.00
떡만두국,15.47,3.91,3.53,206.000,111.000
라면,13.65,2.28,1.72,283.000,82.00
라면_달걀,17.33,3.18,2.61,183.000,108.000
라면_떡,15.27,2.92,2.04,270.000,96.00
만두_고기만두,17.40,4.45,12.38,206.000,159.000
만두_군만두,25.57,11.50,7.03,385.000,234.000
만두_김치만두,17.02,4.76,10.24,393.000,152.000
만두_물만두,15.61,11.13,8.06,332.000,195.000
만두국_사골,8.94,4.00,3.74,333.000,87.00
메밀국수_온면,12.06,0.29,3.14,194.000,63.00
수제비,11.08,0.52,2.31,142.000,58.00
스파게티_미트볼,17.62,8.88,7.34,218.000,180.000
우동_일식,30.48,3.22,1.78,157.000,158.000
우동볶음,24.79,2.01,2.80,257.000,128.000
월남쌈,12.25,4.97,5.94,230.000,118.000
자장면,14.37,2.22,2.69,307.000,88.00
짬뽕,8.26,1.54,2.79,181.000,58.00
쫄면,23.26,2.52,3.21,250.000,129.000
칼국수,14.90,0.49,3.30,220.000,77.00
칼국수_바지락,15.97,0.53,3.43,272.000,82.00
콩국수,8.92,3.35,3.90,67.00,81.00
닭죽,7.14,0.57,2.68,117.000,44.00
스프_양송이버섯,8.06,7.04,2.41,170.000,105.000
오리죽,19.95,4.99,7.50,62.00,155.000
전복죽,9.62,3.73,1.82,158.000,79.00
채소죽,7.62,0.69,1.69,224.000,43.00
팥죽,16.66,0.19,3.17,127.000,81.00
호박죽,6.58,1.71,1.93,42.00,49.00
흑임자 죽,3.64,4.73,1.10,159.000,61.00
갈비탕,0.40,2.06,8.51,199.000,54.00
감자국,3.67,0.26,0.90,215.000,21.00
곰탕,0.11,1.12,3.43,124.000,24.00
곰탕_우거지,2.60,0.60,2.37,225.000,25.00
굴국_무,2.93,0.36,2.41,251.000,25.00
김치국,2.63,0.76,1.34,208.000,23.00
김치국_콩나물,1.15,0.47,0.82,230.000,12.00
내장탕,1.68,4.52,5.82,216.000,71.00
냉국_미역,7.51,0.67,0.19,148.000,37.00
냉국_미역_오이,0.85,0.15,0.37,327.000,6.00
달걀국,0.69,0.74,0.93,246.000,13.00
달걀탕_순두부,0.94,2.04,1.78,101.000,29.00
닭곰탕,2.00,1.42,7.51,170.000,51.00
도가니탕,0.82,0.33,8.35,150.000,40.00
된장국_감자,3.70,0.60,1.09,357.000,25.00
된장국_냉이,2.20,0.66,1.71,236.000,22.00
된장국_미역,2.28,0.97,1.56,305.000,24.00
된장국_배추,2.58,0.40,1.46,223.000,20.00
된장국_시금치,0.98,0.17,1.02,124.000,9.00
된장국_시래기,2.03,0.22,1.31,195.000,15.00
된장국_쑥,1.52,0.47,1.22,243.000,15.00
된장국_아욱,1.59,0.56,2.28,236.000,20.00
된장국_얼갈이배추,0.85,0.41,0.50,195.000,9.00
된장국_우거지,0.82,0.59,2.77,291.000,20.00
된장국_콩나물,2.62,1.11,2.58,365.000,31.00
된장국_해물,2.68,0.98,2.10,384.000,28.00
된장국_호박,1.41,1.31,3.34,452.000,31.00
된장국_호박잎,0.54,0.32,0.40,163.000,7.00
무국_소고기,1.10,0.64,1.33,166.000,15.00
무국_홍합,0.86,2.03,0.79,233.000,25.00
묵국_메밀묵,3.57,0.40,1.00,238.000,22.00
미역국,0.87,0.61,0.65,168.000,12.00
미역국_대합,0.56,0.45,1.23,232.000,11.00
미역국_새우,1.83,0.46,1.09,5.00,16.00
미역국_소고기,0.82,0.26,1.86,196.000,13.00
배추국_소고기,1.14,0.41,1.84,248.000,16.00
북어국,0.84,0.98,3.89,232.000,28.00
사골국,2.81,2.42,5.56,75.00,55.00
삼계탕,3.84,4.80,10.68,82.00,101.000
새우탕,2.00,0.44,5.17,268.000,33.00
설렁탕,0.36,0.58,4.26,22.00,24.00
순대국,14.95,1.75,2.35,330.000,85.00
어묵국(어묵탕),3.83,1.03,1.49,226.000,31.00
오징어국,0.73,0.73,2.22,257.000,18.00
육개장,1.49,0.99,3.68,201.000,30.00
육개장_닭고기,1.41,0.42,2.74,167.000,20.00
장어탕,3.68,3.91,4.32,387.000,67.00
재첩국,4.54,0.29,0.67,126.000,23.00
조개국,0.25,0.89,1.67,297.000,16.00
콩나물국,0.61,0.09,0.74,219.000,6.00
토란국,2.61,0.12,1.00,190.000,16.00
해장국_뼈다귀,1.06,0.97,3.19,346.000,26.00
해장국_선지,1.23,0.96,3.86,312.000,29.00
동태국,1.40,0.16,2.42,224.000,17.00
갈치찌개,1.95,1.00,5.27,91.00,38.00
감자탕,2.27,4.06,6.31,328.000,71.00
김치전골,5.68,4.23,3.12,299.000,73.00
김치찌개_꽁치,3.54,5.18,7.14,249.000,89.00
김치찌개_돼지고기,1.04,2.71,4.25,207.000,45.00
김치찌개_어묵,6.31,0.59,1.82,256.000,38.00
김치찌개_참치,2.90,2.82,3.59,264.000,51.00
김치찌개_햄,3.17,1.39,1.47,445.000,31.00
꽃게탕,1.44,0.41,1.86,273.000,17.00
낙지전골,3.72,1.14,6.50,484.000,51.00
동태찌개,1.72,1.37,6.11,273.000,44.00
돼지고기찌개,2.26,1.51,6.25,255.000,48.00
된장찌개,4.44,1.63,3.38,318.000,46.00
된장찌개_냉이,2.91,0.31,1.17,174.000,19.00
된장찌개_달래,3.81,0.79,3.18,570.000,35.00
된장찌개_두부,2.56,1.96,3.25,478.000,41.00
된장찌개_바지락,1.18,0.72,2.88,406.000,23.00
두부찌개_고추장,3.18,2.63,4.01,181.000,52.00
두부찌개_소고기_고추장,6.73,1.42,4.56,195.000,58.00
두부찌개_소고기_된장,3.50,1.98,5.71,297.000,55.00
매운탕_대구,0.19,0.40,4.49,250.000,22.00
매운탕_해물,2.51,0.64,4.85,368.000,35.00
버섯전골,4.78,4.24,5.14,146.000,78.00
부대찌개,10.27,6.49,5.86,239.000,123.000
샤브샤브_버섯,1.57,0.90,3.88,51.00,30.00
샤브샤브_소고기,1.80,1.62,5.38,96.00,43.00
소고기전골,0.46,3.24,7.89,299.000,63.00
순두부찌개_김치,2.17,1.59,2.98,151.000,35.00
알탕,1.74,0.74,6.37,250.000,39.00
오리백숙,0.50,7.50,10.59,161.000,112.000
오리탕,6.08,6.56,9.50,317.000,121.000
오징어찌개,4.77,0.22,3.30,285.000,34.00
청국장찌개,1.92,2.11,5.03,242.000,47.00
추어탕,3.07,3.18,3.24,246.000,54.00
