ph_num,ph_name,ph_phone,ph_addr,ph_lat,ph_lng,ph_direction,ph_photo,ph_created_at,ph_updated_at,ph_night_yn,ph_holiday_yn
1, 경희당한약국 ,031-656-8004,경기 평택시 통복시장로21번길 19   (통복동),36.997313695692895,127.084324730207,,,,,0,0
2,(새)지곡백화점약국,041-662-2808,충청남도 서산시 지곡면 충의로 1192,36.8739362445295,126.438132686957,,,,,1,1
3,1(일)약국,031-468-3354,경기도 안양시 만안구 박달로 518 (박달동),37.40242465877038,126.9102104886459,,,,,1,0
4,"1,2,3약국",031-529-8099,경기도 남양주시 오남읍 양지로 47-63,37.68266991096422,127.20334826251477,,,,,0,0
5,1004약국,02-381-5052,"경기도 고양시 덕양구 동세로 19, 아카메디 105호 (동산동)",37.6445427586745,126.886335948466,,,,,0,0
6,100세건강약국,02-445-1460,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",37.4660448664795,127.101366881801,,,,,1,0
7,100세건강약국,031-465-1320,"경기도 안양시 만안구 안양로 408, 1층 (안양동)",37.40715413753811,126.91483549371,,,,,1,0
8,100세약국,02-2678-8217,"서울특별시 영등포구 양평로 24, (당산동6가)",37.5332595787209,126.903741102981,,,,,0,0
9,100세약국,043-223-2627,"충청북도 청주시 상당구 상당로 10, 1층 (서운동)",36.629486336861184,127.49147819573254,,,,,0,0
10,100세약국,032-427-7585,"인천광역시 남동구 남동대로 892, 1층일부 (간석동)",37.462085665425015,126.7086477914506,,,,,1,0
11,100세약국,02-2619-0081,"경기도 광명시 광명로 877, 상가동 제2-1층 4호 (광명동, 한진아파트)",37.47781496422565,126.85339210643107,,,,,1,0
12,100세약국,031-353-7575,경기도 화성시 정남면 만년로 540,37.16946363261152,126.98350647047596,,,,,1,0
13,100약국,033-743-4795,강원특별자치도 원주시 평원로 58 (평원동),37.35105846395581,127.95108158901276,,,,,0,0
14,100평 광장약국,031-844-1008,"경기도 의정부시 동일로 732, 금오동 근린생활시설 1층 102호 (금오동)",37.7519573928855,127.049286104824,,,,,0,0
15,100평 우정약국,031-568-8277,"경기도 구리시 경춘로 170, 계성빌딩 1층 (교문동)",37.6002974737,127.1341546255,,,,,0,0
16,10층비비약국,031-000-0000,"경기도 용인시 기흥구 동백중앙로 283, 골드프라자 B동 1009호 (중동)",37.278013079108,127.153487824004,,,,,0,0
17,123약국,02-2272-2456,"서울특별시 중구 을지로43길 5-6, 더 스텔라 팰리스 1층 101호 (을지로6가)",37.5668029793759,127.00648219566,,,,,0,0
18,123약국,031-211-1230,경기도 수원시 영통구 월드컵로 153 (원천동),37.2773353936,127.0483270736,,,,,0,0
19,123약국,032-422-0320,"인천광역시 미추홀구 주안로 107, 금강메디컬센터 1층 105,106호 (주안동)",37.464285338792,126.681728788281,,,,,1,0
20,123약국,051-241-0123,부산광역시 서구 까치고개로 216-1 (아미동1가),35.09960087201154,129.01947595071357,,,,,0,0
21,123약국,062-710-9874,"광주광역시 동구 동계로 71, 1층 (계림동)",35.1581635527172,126.92316646915,,,,,0,0
22,123약국,042-300-0123,"대전광역시 동구 용운로 167, 1층 (용운동)",36.3280280713828,127.461006493663,,,,,0,0
23,13약국,031-722-2213,"경기도 성남시 수정구 심곡로 13, 2층 (심곡동)",37.4492529760256,127.103647540429,,,,,0,0
